housing_median_age,total_rooms,median_income,ocean_proximity,median_house_value,county,pop_per_household
31.0,2887.0,3.6745,<1H OCEAN,335500.0,Los Angeles,2.5525902668759812
20.0,1814.0,7.9977,NEAR BAY,400000.0,Marin,2.600790513833992
7.0,10352.0,2.2925,INLAND,113100.0,Riverside,2.107164002368265
52.0,1878.0,3.3348,INLAND,122800.0,Sacramento,1.89501312335958
23.0,2363.0,2.2794,INLAND,75700.0,Merced,2.848780487804878
33.0,213.0,4.9167,NEAR BAY,187500.0,Napa,2.757575757575758
17.0,3318.0,2.2969,INLAND,89300.0,Riverside,2.9955423476968797
22.0,2855.0,3.1312,INLAND,91000.0,Riverside,3.9310897435897436
16.0,2427.0,2.6929,INLAND,119300.0,San Bernardino,1.6171079429735233
26.0,1786.0,5.7239,INLAND,430600.0,Alameda,2.763440860215054
41.0,1904.0,3.6845,<1H OCEAN,175800.0,Los Angeles,3.3453815261044175
23.0,366.0,3.125,<1H OCEAN,375000.0,Ventura,4.015151515151516
26.0,3038.0,5.6385,<1H OCEAN,196900.0,Ventura,3.8995726495726495
14.0,1405.0,3.0804,INLAND,156800.0,Nevada,2.8947368421052633
4.0,2.0,2.375,INLAND,137500.0,Kern,3.0
33.0,1416.0,1.9818,<1H OCEAN,208300.0,Los Angeles,3.278501628664495
32.0,1607.0,4.5278,<1H OCEAN,166300.0,San Diego,2.969465648854962
23.0,2126.0,1.3713,INLAND,51800.0,Madera,4.258655804480652
32.0,6239.0,6.6188,NEAR OCEAN,380000.0,Orange,2.7526315789473683
12.0,3653.0,2.8681,<1H OCEAN,114200.0,Los Angeles,3.7646370023419204
26.0,18.0,0.536,INLAND,275000.0,Riverside,1.6666666666666667
52.0,1457.0,0.9566,INLAND,69000.0,Butte,2.345029239766082
48.0,1751.0,1.4375,NEAR BAY,90000.0,Alameda,2.679083094555874
25.0,2450.0,3.6375,<1H OCEAN,262500.0,Los Angeles,1.8235294117647058
34.0,3078.0,4.601,INLAND,150000.0,Stanislaus,2.517453798767967
29.0,2049.0,3.7414,INLAND,98500.0,Sacramento,2.546925566343042
28.0,2899.0,1.5208,INLAND,69500.0,San Bernardino,3.6732824427480915
6.0,3694.0,6.8333,<1H OCEAN,348000.0,Santa Clara,2.9487666034155597
21.0,2080.0,5.2887,<1H OCEAN,264500.0,Santa Clara,3.2
42.0,498.0,3.7543,<1H OCEAN,126600.0,Los Angeles,4.605042016806722
17.0,1181.0,5.5762,INLAND,150000.0,San Bernardino,2.175438596491228
39.0,2233.0,1.8641,INLAND,50800.0,Fresno,4.136456211812627
7.0,2611.0,5.0622,INLAND,174100.0,Nevada,3.0314465408805034
17.0,1661.0,2.7639,NEAR OCEAN,90200.0,Humboldt,2.6554621848739495
16.0,4507.0,3.3261,INLAND,118400.0,Kern,2.3576642335766422
48.0,2675.0,3.9565,NEAR BAY,268500.0,San Francisco,3.283333333333333
19.0,902.0,1.3333,<1H OCEAN,310000.0,Los Angeles,1.5220588235294117
34.0,982.0,6.3214,<1H OCEAN,220800.0,Orange,3.1923076923076925
35.0,2180.0,3.0395,<1H OCEAN,191300.0,Los Angeles,2.583623693379791
10.0,3425.0,4.45,INLAND,138700.0,Sacramento,2.6201022146507666
22.0,5822.0,3.1579,<1H OCEAN,243100.0,Los Angeles,2.1041009463722395
47.0,2212.0,1.9853,<1H OCEAN,101100.0,Los Angeles,3.435018050541516
30.0,1685.0,3.4722,<1H OCEAN,112500.0,Santa Barbara,3.505434782608696
28.0,2714.0,5.7385,<1H OCEAN,240400.0,Santa Clara,2.8346938775510204
48.0,890.0,3.6111,<1H OCEAN,450000.0,Los Angeles,1.8706896551724137
37.0,1756.0,4.375,<1H OCEAN,218200.0,Los Angeles,2.4955223880597015
51.0,924.0,2.1964,NEAR OCEAN,234400.0,Santa Cruz,2.1403508771929824
16.0,2129.0,2.5868,INLAND,146900.0,San Bernardino,2.45910290237467
36.0,1407.0,2.6364,<1H OCEAN,150000.0,Los Angeles,5.037142857142857
13.0,2685.0,2.8775,<1H OCEAN,134100.0,Monterey,4.317626527050611
36.0,2112.0,3.3984,NEAR OCEAN,90000.0,Humboldt,2.2527173913043477
20.0,3398.0,2.0288,<1H OCEAN,350000.0,Santa Clara,1.6545698924731183
44.0,2153.0,5.0072,NEAR OCEAN,236200.0,Los Angeles,2.6016483516483517
43.0,1934.0,2.5029,<1H OCEAN,159700.0,Los Angeles,3.843813387423935
37.0,932.0,4.375,<1H OCEAN,177600.0,Los Angeles,3.302857142857143
39.0,2163.0,2.084,NEAR OCEAN,233300.0,San Luis Obispo,1.9248747913188649
52.0,1370.0,2.55,<1H OCEAN,112900.0,Mendocino,2.706140350877193
14.0,1078.0,3.7083,NEAR OCEAN,210000.0,Monterey,2.2339181286549707
42.0,3157.0,3.7422,NEAR OCEAN,292600.0,San Mateo,2.548489666136725
39.0,2390.0,3.7857,<1H OCEAN,245700.0,Los Angeles,2.9526066350710902
9.0,5534.0,3.6161,INLAND,99100.0,Riverside,2.2648809523809526
6.0,3023.0,6.3705,INLAND,350000.0,Alameda,2.6175213675213675
35.0,2405.0,5.0659,NEAR OCEAN,238000.0,San Mateo,3.3609341825902335
36.0,116.0,3.125,INLAND,37500.0,Kern,2.1666666666666665
41.0,4138.0,2.978,<1H OCEAN,306800.0,Los Angeles,1.8048543689320389
46.0,2483.0,2.2788,<1H OCEAN,152900.0,Los Angeles,3.8354430379746836
36.0,1770.0,2.56,NEAR OCEAN,273100.0,San Mateo,2.6688453159041394
37.0,2351.0,1.6563,INLAND,57200.0,San Joaquin,2.8979963570127505
27.0,429.0,2.3333,INLAND,87500.0,San Joaquin,1.988888888888889
52.0,1777.0,3.6729,INLAND,137800.0,Sacramento,1.782857142857143
34.0,1959.0,6.2884,NEAR BAY,414700.0,Santa Clara,2.3781512605042017
27.0,1832.0,3.9643,NEAR OCEAN,186000.0,Ventura,3.57487922705314
2.0,7747.0,6.1112,INLAND,181000.0,Solano,3.2142197599261313
33.0,1465.0,3.9464,<1H OCEAN,230300.0,Ventura,2.7481203007518795
10.0,11659.0,6.9833,INLAND,238800.0,Riverside,2.018467220683287
43.0,905.0,3.3214,NEAR OCEAN,162200.0,Los Angeles,3.7450980392156863
17.0,2319.0,3.5511,INLAND,155900.0,El Dorado,3.0268817204301075
34.0,2226.0,4.4102,<1H OCEAN,183200.0,Los Angeles,4.010958904109589
16.0,2069.0,4.6771,INLAND,212000.0,Placer,2.9732441471571907
37.0,2127.0,2.9773,<1H OCEAN,164600.0,Los Angeles,4.210416666666666
44.0,3192.0,4.3693,INLAND,234000.0,Santa Clara,2.533450704225352
51.0,1262.0,2.1974,NEAR BAY,139300.0,Contra Costa,2.040268456375839
21.0,49.0,5.0,NEAR OCEAN,87500.0,Los Angeles,1.8125
23.0,1336.0,2.5388,<1H OCEAN,205000.0,Los Angeles,3.4958217270194987
21.0,2500.0,2.6513,INLAND,113300.0,Shasta,2.8446215139442232
21.0,1141.0,3.8424,<1H OCEAN,155700.0,Monterey,3.4410256410256412
31.0,1494.0,3.5282,INLAND,67500.0,Imperial,3.3767605633802815
15.0,1263.0,4.5,INLAND,260900.0,Solano,3.1971153846153846
36.0,2452.0,0.9298,<1H OCEAN,100000.0,Los Angeles,3.9940029985007497
8.0,2756.0,8.5957,<1H OCEAN,444100.0,San Diego,3.073529411764706
36.0,1463.0,3.25,<1H OCEAN,179200.0,Los Angeles,4.076502732240437
24.0,1587.0,6.0715,INLAND,173400.0,San Bernardino,2.888888888888889
44.0,1621.0,2.619,NEAR BAY,134700.0,Alameda,2.7576374745417516
4.0,2271.0,3.6437,<1H OCEAN,210100.0,San Diego,2.368286445012788
7.0,938.0,1.2667,NEAR OCEAN,67500.0,Unknown,4.209219858156028
33.0,1518.0,3.5586,<1H OCEAN,160400.0,San Diego,3.150735294117647
16.0,2127.0,3.0469,INLAND,72200.0,Glenn,2.991869918699187
24.0,4694.0,4.4818,<1H OCEAN,166200.0,Los Angeles,4.589446589446589
19.0,3599.0,2.234,INLAND,58600.0,Siskiyou,2.615640599001664
40.0,2538.0,2.7212,<1H OCEAN,107900.0,Los Angeles,4.011090573012939
29.0,2176.0,3.707,<1H OCEAN,180400.0,Orange,3.8130841121495327
36.0,1560.0,3.622,<1H OCEAN,174000.0,Los Angeles,4.292993630573249
44.0,2185.0,4.725,NEAR BAY,232100.0,Contra Costa,2.5765027322404372
13.0,1839.0,4.2031,INLAND,209600.0,Nevada,2.785185185185185
13.0,6141.0,4.2432,INLAND,326500.0,Yolo,2.640124095139607
14.0,4026.0,3.5541,<1H OCEAN,191800.0,Ventura,2.7198211624441133
17.0,3442.0,2.8102,INLAND,128900.0,Nevada,2.7350565428109856
29.0,5436.0,8.7496,<1H OCEAN,349500.0,Orange,2.986861313868613
36.0,1765.0,2.0639,INLAND,73000.0,Sacramento,2.6387434554973823
8.0,3866.0,6.0901,NEAR BAY,298200.0,Contra Costa,3.0311890838206628
21.0,3639.0,4.6197,<1H OCEAN,387500.0,Los Angeles,1.5147507629704984
35.0,1666.0,6.6277,<1H OCEAN,344400.0,Los Angeles,2.8864468864468864
22.0,4057.0,5.8527,<1H OCEAN,241000.0,Orange,3.4276827371695178
21.0,44.0,0.8571,INLAND,25000.0,Imperial,2.3703703703703702
44.0,1879.0,3.15,INLAND,101500.0,Sacramento,2.2927536231884056
31.0,3205.0,3.3681,<1H OCEAN,223900.0,Los Angeles,2.480421686746988
36.0,961.0,4.2596,<1H OCEAN,181100.0,Los Angeles,3.4916201117318435
33.0,1541.0,2.5074,INLAND,117700.0,Merced,3.235294117647059
13.0,3641.0,2.1418,INLAND,130600.0,Merced,2.204314720812183
24.0,4072.0,6.0487,<1H OCEAN,254500.0,Ventura,3.2460176991150442
36.0,1749.0,4.6473,<1H OCEAN,227100.0,Los Angeles,2.6802507836990594
36.0,839.0,2.3438,INLAND,122700.0,Solano,2.6706586826347305
33.0,393.0,4.1029,NEAR OCEAN,122700.0,San Diego,4.125
18.0,4224.0,4.8226,INLAND,139900.0,Yolo,2.9750390015600625
25.0,2377.0,4.7083,<1H OCEAN,196100.0,Ventura,2.733485193621868
15.0,1834.0,6.0634,<1H OCEAN,234300.0,Orange,2.72168284789644
7.0,4842.0,3.9318,INLAND,133000.0,Sacramento,3.1499448732083795
11.0,5665.0,2.3343,INLAND,97800.0,Sacramento,2.634334103156274
10.0,642.0,2.1528,INLAND,162500.0,Riverside,2.4838709677419355
44.0,2026.0,4.1406,<1H OCEAN,274100.0,Santa Clara,2.370757180156658
17.0,6050.0,3.7647,<1H OCEAN,127600.0,San Diego,3.0274093722369586
13.0,4770.0,4.2273,INLAND,295200.0,Riverside,2.998489425981873
24.0,2868.0,3.3182,INLAND,213000.0,Sacramento,2.6365503080082138
35.0,1737.0,3.2411,<1H OCEAN,159200.0,San Diego,2.8095238095238093
36.0,4018.0,2.3599,NEAR OCEAN,168400.0,San Diego,1.9239904988123515
26.0,440.0,5.1831,NEAR OCEAN,350000.0,San Mateo,1.4770642201834863
19.0,3103.0,2.6961,<1H OCEAN,212500.0,Los Angeles,2.754742547425474
46.0,1774.0,4.7241,INLAND,279600.0,Los Angeles,2.2818181818181817
21.0,1591.0,4.8906,<1H OCEAN,179100.0,Orange,3.0437710437710437
29.0,2677.0,2.1864,<1H OCEAN,143200.0,Sonoma,2.8313253012048194
19.0,1907.0,6.0332,<1H OCEAN,244900.0,Monterey,2.522222222222222
20.0,563.0,5.4482,NEAR BAY,190800.0,Contra Costa,2.0
22.0,1999.0,4.4583,INLAND,253900.0,Contra Costa,3.021875
36.0,1705.0,4.6184,<1H OCEAN,179800.0,Los Angeles,2.9425675675675675
29.0,4148.0,6.912,NEAR OCEAN,457200.0,San Mateo,2.61244019138756
7.0,4524.0,6.5538,INLAND,311600.0,Los Angeles,3.205020920502092
28.0,2127.0,2.5763,<1H OCEAN,173900.0,Los Angeles,5.096774193548387
35.0,1958.0,2.95,NEAR BAY,148900.0,Alameda,2.5580357142857144
19.0,6807.0,3.1591,INLAND,189700.0,Riverside,2.562085308056872
45.0,963.0,2.1806,<1H OCEAN,134900.0,Los Angeles,4.99581589958159
26.0,1616.0,5.5105,<1H OCEAN,232100.0,Orange,2.904564315352697
30.0,1758.0,6.623,<1H OCEAN,332500.0,Santa Clara,3.1796875
39.0,322.0,2.6364,<1H OCEAN,148800.0,Los Angeles,3.5444444444444443
27.0,2127.0,1.4722,INLAND,91300.0,San Bernardino,3.689138576779026
15.0,2155.0,4.03,INLAND,141200.0,El Dorado,2.407303370786517
36.0,1407.0,5.269,<1H OCEAN,331900.0,Los Angeles,2.9264069264069263
4.0,3241.0,6.6134,INLAND,307000.0,Contra Costa,3.1417004048582995
12.0,2835.0,4.4125,INLAND,149000.0,Kern,3.387409200968523
33.0,2024.0,1.9208,<1H OCEAN,93600.0,Mendocino,2.414691943127962
16.0,2754.0,1.4048,INLAND,86500.0,Butte,1.9576427255985267
20.0,1767.0,6.5394,<1H OCEAN,272000.0,Orange,2.8204225352112675
46.0,1637.0,2.1818,INLAND,75300.0,Kern,2.404040404040404
36.0,2103.0,2.4135,NEAR OCEAN,97000.0,San Diego,3.2627551020408165
21.0,1024.0,2.101,INLAND,46700.0,Imperial,3.836206896551724
36.0,2833.0,2.7012,<1H OCEAN,172100.0,Los Angeles,3.0296191819464036
39.0,1995.0,4.0795,NEAR OCEAN,400000.0,Los Angeles,1.529100529100529
31.0,1443.0,6.6087,<1H OCEAN,416500.0,Santa Clara,2.824324324324324
36.0,2396.0,2.9559,INLAND,136600.0,Sacramento,2.378640776699029
37.0,1354.0,3.25,NEAR OCEAN,225000.0,San Luis Obispo,2.5965517241379312
32.0,3436.0,3.5039,NEAR OCEAN,232400.0,San Mateo,3.1615667074663403
19.0,3995.0,6.075,INLAND,254100.0,San Bernardino,2.9921414538310414
46.0,1268.0,4.0742,<1H OCEAN,229100.0,Los Angeles,2.7656903765690375
31.0,2518.0,4.7404,<1H OCEAN,295800.0,Los Angeles,2.1791338582677167
36.0,1243.0,1.0714,<1H OCEAN,137500.0,Los Angeles,3.7567567567567566
48.0,2387.0,3.7562,NEAR OCEAN,321200.0,San Francisco,2.551470588235294
15.0,1804.0,5.9806,NEAR OCEAN,370500.0,San Diego,2.2736486486486487
24.0,1610.0,1.8661,INLAND,59800.0,Butte,2.8142414860681115
28.0,731.0,3.2917,NEAR OCEAN,225000.0,Ventura,1.7592592592592593
2.0,2701.0,4.071,INLAND,137400.0,Los Angeles,3.181395348837209
31.0,2349.0,3.494,<1H OCEAN,154500.0,Los Angeles,3.892514395393474
18.0,2539.0,3.4306,NEAR OCEAN,275000.0,San Diego,1.832699619771863
33.0,1328.0,3.1094,INLAND,136000.0,Los Angeles,2.74468085106383
42.0,2010.0,1.9408,<1H OCEAN,134600.0,Los Angeles,2.8173302107728335
44.0,706.0,3.0089,NEAR OCEAN,166700.0,Ventura,2.6778523489932886
34.0,1932.0,5.1377,<1H OCEAN,213300.0,Los Angeles,3.3322784810126582
41.0,1989.0,2.79,NEAR OCEAN,226000.0,San Diego,2.0756646216768915
17.0,2943.0,3.1484,<1H OCEAN,187500.0,Los Angeles,2.0
43.0,1802.0,2.675,<1H OCEAN,247900.0,Santa Barbara,2.7695167286245352
30.0,2261.0,4.2841,NEAR BAY,213400.0,Alameda,2.425587467362924
38.0,1107.0,7.5582,<1H OCEAN,263700.0,Los Angeles,2.6564102564102563
21.0,3999.0,3.875,INLAND,99500.0,Kern,2.745639534883721
35.0,1799.0,3.9219,<1H OCEAN,189600.0,Orange,3.3668478260869565
33.0,3007.0,3.8816,INLAND,134600.0,San Bernardino,2.5655737704918034
11.0,3946.0,2.0179,INLAND,87300.0,Merced,2.9527806925498425
43.0,2216.0,5.5289,NEAR OCEAN,297700.0,San Diego,2.365979381443299
52.0,2241.0,4.1635,NEAR BAY,398400.0,San Francisco,2.763925729442971
52.0,766.0,2.5208,NEAR BAY,316700.0,Santa Clara,2.2857142857142856
34.0,1865.0,5.543,<1H OCEAN,305900.0,Los Angeles,3.1887417218543046
27.0,10839.0,5.615,NEAR BAY,285600.0,Marin,2.7147258163894024
32.0,4089.0,3.29,<1H OCEAN,205500.0,Los Angeles,3.9528795811518322
17.0,3640.0,3.4784,INLAND,152200.0,Los Angeles,4.382899628252788
16.0,2708.0,3.7891,INLAND,117700.0,El Dorado,2.7279693486590038
23.0,1755.0,4.3077,NEAR BAY,293500.0,Santa Clara,2.7154150197628457
26.0,4211.0,5.2396,<1H OCEAN,223900.0,Alameda,3.204359673024523
17.0,1631.0,2.7656,INLAND,130000.0,Mono,2.2265625
36.0,2016.0,1.6901,<1H OCEAN,103500.0,Los Angeles,3.894396551724138
15.0,3333.0,2.9083,NEAR OCEAN,122400.0,San Diego,1.8602442333785618
33.0,1097.0,1.2794,INLAND,50700.0,Madera,2.4782608695652173
19.0,2758.0,2.6618,<1H OCEAN,179700.0,Los Angeles,3.463620981387479
13.0,10886.0,2.3169,INLAND,123400.0,Riverside,2.1820971867007675
16.0,1755.0,5.1602,<1H OCEAN,231200.0,Santa Clara,1.6439024390243901
28.0,3494.0,5.3637,INLAND,214700.0,Los Angeles,2.664750957854406
32.0,2958.0,1.8606,INLAND,56700.0,Kings,2.398724082934609
34.0,762.0,3.5625,<1H OCEAN,201800.0,Santa Clara,3.1658031088082903
35.0,1313.0,1.75,INLAND,57600.0,Merced,3.935860058309038
